0.023
0.033
0.043
0.053
0.063
0.073
0.083
0.093
0.103
0.113
0.123
0.133
0.143
0.153
0.163
0.173
0.183
0.193
0.203
0.213
0.223
0.233	175.524
0.243	175.737
0.253	175.930
0.263	176.103
0.273	174.695	290.409
0.283	174.735	290.611
0.293	175.940	288.370
0.303	176.643	290.292
0.313	176.643	290.292
1.213	220.738	351.678	146.960
1.223	221.658	350.522	146.832
1.233	221.633	350.927	146.832
1.243	220.000	350.420	146.832
1.253	220.191	351.170	147.308
1.263	220.000	350.603	146.832
1.273	220.713	351.800	146.917
1.283	351.393	220.140	146.909
1.293	351.617	220.636	146.900
1.303	351.190	220.445	146.832
1.313	351.089	220.292	146.832
1.323	351.150	221.735	146.832
1.333	350.846	222.556	146.832
1.343	351.373	221.351	146.900
1.353	350.947	146.917	222.556
1.363	350.744	147.283	222.556
1.373	350.684	146.832	221.799
1.383	350.117	146.832	221.902
1.393	350.259	146.832	234.175
1.403	146.985	349.228	234.229
1.413	146.832	348.342	234.040
1.423	146.832	344.799	233.082
1.433	235.137	146.832	343.764
1.443	234.297	147.990	347.598
1.453	233.756	147.045	295.520
1.463	234.419	296.426	146.832
1.473	235.341	296.631	147.062
1.483	235.124	293.665	147.079
1.493	235.232	293.665	147.104
1.503	235.477	295.298	460.809
1.513	234.676	295.332	463.158
1.523	234.947	295.366	195.998
1.533	234.446	295.400	97.999
1.543	233.932	296.923	98.038
1.553	235.382	295.707	98.061
1.563	234.771	295.417	97.999
1.573	233.527	97.999	295.434
1.583	235.056	98.129	294.838
1.593	234.649	97.999	295.520
1.603	233.972	97.999	294.889
1.613	235.436	97.999	295.025
1.623	234.175	97.999	295.247
1.633	234.784	99.138	295.639
1.643	235.423	97.999	296.391
1.653	235.790	97.999	296.820
1.663	235.232	99.138	939.463
1.673	234.974	97.999	939.626
1.683	97.999	235.790	939.409
1.693	97.999	235.668	939.680
1.703	97.999	234.581	939.789
1.713	97.999	234.391	939.789
1.723	97.999	235.586
1.733	97.999	234.053
1.743	97.999	235.246
1.753	97.999	235.097
1.763	97.999	235.790
1.773	97.999	235.640
1.783	97.999	234.351
1.793	97.999	234.798
1.803	97.999	235.423	329.628
1.813	97.999	234.148	329.628
1.823	97.999	235.137	329.628
1.833	97.999	235.002	329.628
1.843	97.999	234.107	329.628
1.853	97.999	235.423	329.628
1.863	97.999	234.459	329.628
1.873	97.999	234.622	329.628
1.883	97.999	235.532	329.628
1.893	97.999	235.790	329.628
1.903	97.999	235.572	329.628
1.913	98.362	234.649	329.628
1.923	97.999	234.744	329.932
1.933	97.999	235.722	329.628
1.943	97.999	235.790	329.628
1.953	97.999	235.600	329.628
1.963	97.999	235.097	329.628
1.973	97.999	235.790
1.983	97.999	236.145
1.993	97.999	235.790
2.003	98.044	235.790
2.013	97.999	235.722
2.023	97.999	235.749
2.033	97.999	235.763
2.043	97.999	389.895
2.053	97.999	392.789
2.063	97.999	292.919
2.073	99.057	298.263
2.083	98.214	292.632
2.093	148.033	292.412
2.103	148.538	286.957	442.677
2.113	148.538	290.292	444.727
2.123	146.832	292.649	443.880
2.133	146.832	296.152	444.419
2.143	148.538	290.292	440.000
2.153	148.538	290.292	441.681
2.163	148.538	298.160	440.000
2.173	148.538	294.123	351.069
2.183	353.286	148.187	294.480
2.193	353.286	294.855	148.170
2.203	353.286	296.374	148.538
2.213	353.286	296.186	148.538
2.223	353.286	295.502	74.269
2.233	349.592	295.554	74.269
2.243	349.228	295.264	74.269
2.253	352.308	295.434	74.269
2.263	351.759	295.690	147.504
2.273	354.328	295.502	147.674
2.283	351.434	147.368	295.742
2.293	349.228	148.427	295.861
2.303	350.097	148.007	295.742	440.000
2.313	353.286	146.832	296.169	441.426
2.323	354.267	148.221	295.844	441.528
2.333	350.178	147.283	441.604	295.895
2.343	349.228	146.832	441.706	295.724
2.353	349.491	146.832	442.523	295.981
2.363	349.228	146.832	442.677	588.960
2.373	349.228	146.832	442.191	589.879
2.383	349.612	146.832	442.089	589.914
2.393	349.228	146.832	441.961	589.369
2.403	350.805	147.062	589.982	442.268
2.413	349.228	147.087	590.254	440.000
2.423	349.228	146.832	590.016	442.115
2.433	349.228	148.170	590.357	442.498
2.443	349.228	146.832	590.016	885.200
2.453	351.779	147.164	590.186	885.967
2.463	349.228	146.832	590.050	222.389
2.473	349.228	148.436	590.220	222.556
2.483	146.832	349.228	590.050	222.556
2.493	146.832	350.157	590.493	442.523
2.503	146.832	353.021	589.403	442.217
2.513	146.832	349.228	589.743	449.375
2.523	146.832	352.410	448.027	589.505
2.533	147.683	350.360	440.687	589.914
2.543	148.110	349.228	434.946	1310.386
2.553	147.777	349.228	434.946	1312.280
2.563	148.033	349.228	434.946	1312.356
2.573	147.692	351.840	439.492	1312.431
2.583	148.230	349.228	440.000	1314.936
2.593	147.512	350.907	440.000	1312.431
2.603	147.990	353.286	440.178	1314.936
2.613	351.089	148.059	440.305	74.269
2.623	350.339	148.504	440.000	74.192
2.633	351.211	148.538	440.916	74.201
2.643	350.623	148.196	445.113	74.269
2.653	355.292	147.948	441.273	591.517
2.663	354.308	148.538	440.000	591.381
2.673	349.228	450.285	147.615	591.551
2.683	345.217	440.000	148.230	591.449
2.693	353.041	440.000	148.538	592.030
2.703	350.178	434.946	148.239	591.586
2.713	351.495	440.356	148.538	591.415
2.723	349.228	434.946	148.538	591.722
2.733	349.773	591.210	148.538	440.000
2.743	345.217	591.517	146.832	440.458
2.753	354.390	591.005	148.230	440.000
2.763	345.217	591.142	148.239	444.239
2.773	348.603	590.937	148.538	225.142
2.783	349.228	590.459	148.538	223.678
2.793	353.286	590.050	148.161	223.523
2.803	350.542	148.624	589.845	224.337
2.813	349.228	148.538	590.595	223.910
2.823	351.069	148.538	221.953	590.425
2.833	353.286	146.832	222.955	295.742
2.843	349.228	147.683	440.000	295.810
2.853	349.228	147.581	443.444	294.157
2.863	349.228	146.832	440.127	294.463
2.873	349.228	147.632	438.934	294.548
2.883	349.228	147.376	438.579	293.716
2.893	349.228	438.427	146.832	294.463
2.903	351.312	438.655	146.832	294.429
2.913	347.157	439.340	146.832
2.923	346.936	147.478	440.432
2.933	350.785	148.230	442.242
2.943	349.228	147.308	444.137
2.953	349.228	148.530	440.890
2.963	349.390	147.657	440.000
2.973	350.137	147.674	441.171
2.983	352.125	148.538	441.196
2.993	353.286	148.538	440.000
3.003	349.228	146.832	444.034
3.013	348.060	146.832	440.941
3.023	350.684	146.832	440.712
3.033	353.286	147.598	440.000
3.043	353.940	147.598	74.269
3.053	350.198	74.269	147.598
3.063	73.850	148.538	346.516
3.073	73.416	147.709
3.083	73.735	148.538
3.093	73.688	146.375
3.103	73.416	147.896
3.113	73.416	148.016
3.123	73.416	148.119
3.133	147.478	73.497
3.143	148.324
3.153	150.126
3.163	154.784
3.173	155.563
3.183	153.777	349.309
3.193	154.605	349.329
3.203	349.309	154.569
3.213	349.228	154.542
3.223	349.127	148.144
3.233	349.228	147.948
3.243	349.228	147.743
3.253	349.228	148.538	580.583
3.263	350.339	148.538	579.009
3.273	349.228	148.538	443.060
3.283	349.228	148.538	443.009
3.293	348.744	145.616	444.933
3.303	345.217	145.650	443.393
3.313	345.217	146.832	442.293
3.323	345.217	146.832	442.242
3.333	344.779	145.146	442.115
3.343	145.146	345.217	442.166
3.353	145.146	345.377	442.038
3.363	147.538	345.756	442.344
3.373	147.785	346.476	442.268
3.383	147.172	346.776	573.915
3.393	143.479	347.177	575.941
3.403	147.308	347.277	573.915
3.413	146.832	347.458	576.640
3.423	147.342	347.458	577.073
3.433	148.538	347.277	580.315
3.443	146.832	347.337	577.540
3.453	146.909	347.277	580.583
3.463	145.146	347.458	577.940
3.473	145.146	347.377	577.940
3.483	144.627	347.658	577.807
3.493	147.368	347.678	577.673
3.503	146.832	347.960	580.818
3.513	146.832	348.100	577.273
3.523	147.555	348.503	573.915
3.533	147.155	348.483	578.007
3.543	146.832	348.805	575.043
3.553	146.832	348.805	573.915	1152.148
3.563	146.832	348.845	577.640	1154.613
3.573	146.832	348.885	576.740	1154.279
3.583	147.036	348.805	579.913	1154.412
3.593	145.146	348.926	578.575	1157.417
3.603	146.832	348.805	580.583
3.613	146.832	348.946	580.583
3.623	146.832	349.148	580.583
3.633	144.402	349.228	579.746
3.643	146.832	349.369	579.880
3.653	146.434	349.551	580.583
3.663	146.832	349.632	580.282
3.673	146.832	349.713	580.382
3.683	146.832	349.996	580.382
3.693	146.832	350.724	580.382
3.703	146.832	352.715
3.713	146.832	354.595
3.723	146.832	355.210
3.733	148.538	352.288
3.743	146.832	329.837
3.753	146.832	329.837	352.837
3.763	145.146	333.843	516.495
3.773	325.841	146.722	516.554
3.783	329.628	516.584	146.688
3.793	329.628	517.122	216.596
3.803	329.380	517.062	220.076
3.813	329.628	515.154	223.148
3.823	329.628	515.243	223.381
3.833	330.887	517.241	222.556
3.843	330.085	517.241	445.113
3.853	329.628	517.241	443.240
3.863	517.241	329.628	443.957
3.873	517.241	329.628	443.316
3.883	517.241	329.628	442.779
3.893	517.241	329.875	442.396
3.903	517.122	329.628	442.038
3.913	517.241	329.628	442.242
3.923	516.346	329.628	441.630
3.933	515.571	330.543	441.655
3.943	330.352	515.481	441.757
3.953	330.180	516.465	441.732
3.963	330.066	517.241	441.630
3.973	330.505	517.570	441.528
3.983	331.059	518.677	441.502
3.993	331.231	518.887	441.477
4.003	331.384	520.207	441.528
4.013	331.767	521.320	441.528
4.023	331.920	520.959	441.502
4.033	331.269	520.839	441.451
4.043	330.887	521.110	441.451
4.053	331.059	521.923	441.604
4.063	331.135	523.251	441.604
4.073	331.154	522.436	441.426
4.083	331.786	519.217	441.171
4.093	332.419	517.241	441.043
4.103	332.727	516.196	441.196
4.113	332.630	515.541	441.120
4.123	332.304	515.243	440.890
4.133	332.035	515.660	440.992
4.143	331.460	518.737	86.304
4.153	331.269	517.929	87.070
4.163	331.709	518.857	86.304
4.173	331.863	519.577	220.318
4.183	331.824	521.110	220.331
4.193	522.436	332.112	220.331
4.203	523.251	332.496	220.000
4.213	523.705	332.515	221.108
4.223	523.251	332.496	221.147
4.233	522.225	332.707	220.000
4.243	520.869	332.765	220.000
4.253	517.241	333.381	220.216
4.263	515.839	333.458	220.000
4.273	515.243	332.957	220.000
4.283	512.572	333.458	220.216
4.293	513.520	333.458	220.191
4.303	515.481	332.900	83.364
4.313	514.648	336.146	164.871
4.323	514.708	328.297	164.928
4.333	517.241	332.592	164.814
4.343	517.241	164.814	332.323
4.353	517.241	164.814	332.477
4.363	520.989	164.814	332.438
4.373	521.350	164.814	332.304
4.383	518.617	164.814	416.771
4.393	517.331	165.568	417.686
4.403	517.241	166.729	418.387
4.413	516.167	165.951	418.290
4.423	515.511	417.879	166.479
4.433	516.167	417.373	166.018
4.443	515.332	417.228	166.114
4.453	417.156	515.213	166.171
4.463	417.108	515.988	166.037
4.473	416.987	517.241	166.729
4.483	416.867	166.729	517.241
4.493	416.578	165.606	518.797
4.503	416.458	166.729	517.241
4.513	416.265	165.759	519.037
4.523	416.362	165.472	517.241
4.533	164.814	416.843	517.241
4.543	165.262	417.228	511.300
4.553	165.778	417.325	330.734
4.563	165.281	417.108	330.619
4.573	166.258	416.722	330.944
4.583	165.310	416.458	325.841	491.976
4.593	165.195	416.482	331.441	492.260
4.603	165.778	416.819	331.193	493.883
4.613	166.171	416.891	331.441	493.883
4.623	165.529	416.987	331.690	493.883
4.633	164.814	417.156	332.035	493.883
4.643	164.814	417.252	336.262	982.475
4.653	164.814	416.578	980.490	335.971
4.663	164.814	416.867	982.929	327.597
4.673	164.814	416.626	982.929	295.861
4.683	164.814	416.169	983.553	294.803
4.693	164.814	416.626	983.724	294.650
4.703	164.566	417.276	983.269	296.272
4.713	164.814	417.421	983.326	297.077
4.723	164.814	417.469	984.235	297.077
4.733	164.814	417.735	984.690	296.460
4.743	164.814	418.483	984.406	297.077
4.753	164.814	418.822	984.235	297.077
4.763	164.120	419.064	984.008	296.494
4.773	164.814	419.476	985.715	297.077
4.783	164.814	419.694	986.056	297.077
4.793	164.814	419.863	985.601	296.340
4.803	164.814	419.403	985.089	490.047
4.813	164.814	418.459	984.235	491.039
4.823	166.171	418.870	981.284	490.472
4.833	162.921	418.967	980.547	486.325
4.843	164.814	961.145	417.976	262.004
4.853	162.921	264.666	435.223	979.811
4.863	261.626	429.950	166.729	176.032
4.873	261.626	429.950	174.614	164.757
4.883	259.458	440.000	174.614	979.868
4.893	261.626	440.000	176.103	979.698
4.903	261.626	440.000	175.514
4.913	262.367	440.000	178.696
4.923	261.626	440.000	178.696
4.933	262.504	440.000	178.696
4.943	261.989	440.000	178.696
4.953	261.626	439.644	178.696
4.963	178.696	262.200	440.000
4.973	177.974	261.626	440.000
4.983	178.314	261.731	440.000
4.993	174.614	261.626	440.000
5.003	176.643	262.352	440.000
5.013	176.541	440.000	261.626
5.023	176.643	440.000	261.626
5.033	175.160	440.000	262.064
5.043	176.643	440.000	262.276
5.053	175.951	440.000	264.666
5.063	175.727	440.000	264.666
5.073	175.961	440.000	264.666
5.083	175.180	440.000	264.666
5.093	175.332	440.000	264.666
5.103	175.697	440.000	264.070
5.113	174.988	293.665	440.840
5.123	175.981	293.665	984.520
5.133	176.643	293.665	987.767	441.247
5.143	176.643	293.665	987.310	441.400
5.153	176.643	296.717	988.394	416.578
5.163	176.643	296.700	991.368	416.674
5.173	177.400	296.888	993.431	416.747
5.183	176.643	296.991	993.661	415.305
5.193	176.643	296.923	992.858	415.305
5.203	176.990	297.644	992.628	418.048
5.213	176.643	297.077	992.915	417.759
5.223	178.696	297.077	993.087	417.349
5.233	176.510	297.180	993.948	417.373
5.243	176.643	297.077	994.580	417.518
5.253	176.643	297.077	995.154	417.421
5.263	176.235	297.077	994.580	417.349
5.273	176.643	993.603	297.077	417.349
5.283	176.643	993.202	297.077	417.204
5.293	175.565	993.259	297.334	416.915
5.303	178.696	993.718	297.266	416.867
5.313	175.879	993.833	297.266	417.614
5.323	176.154	994.120	297.816	417.952
5.333	178.696	994.522	297.077	421.589
5.343	178.696	994.407	297.077	418.266
5.353	175.251	994.120	300.529	326.746
5.363	178.696	995.269	325.390	297.919
5.373	176.643	325.259	992.915	297.988
5.383	176.643	329.628	992.456	298.091
5.393	325.841	172.898	991.769	513.846
5.403	327.483	172.609	990.852
5.413	325.841	175.474	982.304
5.423	328.354	175.281	518.587
5.433	328.335	130.813	175.008
5.443	328.127	130.813	174.715
5.453	327.672	130.813	443.624
5.463	327.502	130.813	443.573
5.473	327.975	130.813	443.521
5.483	328.449	130.813	444.470
5.493	328.487	130.813	443.931
5.503	328.373	130.813	443.444
5.513	328.734	130.813	442.984
5.523	328.867	130.813	442.932
5.533	328.354	130.813	442.958
5.543	328.487	130.813	443.035
5.553	130.813	329.228	442.958	524.128
5.563	130.813	442.805	329.628	525.705
5.573	130.813	442.498	329.628	524.068
5.583	130.813	442.447	329.628	525.280
5.593	442.472	130.813	330.409	525.614
5.603	442.447	130.813	330.314	525.644
5.613	442.421	130.813	329.628
5.623	442.626	130.813	521.953
5.633	442.651	521.350	130.813
5.643	442.907	521.622	130.813
5.653	518.168	442.600	129.310
5.663	517.241	442.805	130.511
5.673	517.241	442.856	147.982
5.683	517.570	148.538	443.240
5.693	518.138	147.045	349.632
5.703	519.397	147.002	349.329
5.713	519.877	146.832	349.228
5.723	520.658	146.832	349.228
5.733	521.983	146.832	349.228
5.743	523.251	146.832	349.228
5.753	524.431	349.228	146.832
5.763	524.795	348.724	146.832
5.773	523.251	348.000	146.832
5.783	521.652	347.799	146.832
5.793	520.087	146.832	347.377
5.803	146.832	347.217	519.697
5.813	146.832	519.097	347.157
5.823	146.832	518.647	347.538
5.833	146.832	518.617	347.799
5.843	146.832	518.857	347.558
5.853	146.832	519.007	348.040
5.863	146.832	519.487	348.181
5.873	148.538	520.418	348.684
5.883	146.832	521.049	349.228
5.893	146.637	521.320	349.228
5.903	146.832	521.833	348.503
5.913	146.832	522.587	348.583
5.923	146.832	523.160	248.401
5.933	146.832	523.251	248.544
5.943	146.832	517.241	248.631
5.953	148.538	517.241	246.942
5.963	148.538	517.241	247.156
5.973	148.538	249.206	517.241
5.983	249.768	150.856	517.241
5.993	249.811	143.479	518.497
6.003	249.811	148.538	164.082
6.013	249.811	163.902	147.751
6.023	249.465	162.921	440.381
6.033	248.918	162.921	442.063	493.997
6.043	248.501	162.921	443.496	493.969
6.053	248.186	167.337	442.344	493.969
6.063	248.157	162.921	442.293	493.940
6.073	248.587	166.729	442.166	493.912
6.083	248.774	166.190	442.268	493.912
6.093	248.832	166.623	442.115	493.883
6.103	164.814	248.789	442.140
6.113	164.814	248.702	442.191
6.123	165.510	248.975	442.115
6.133	165.329	249.220	442.115
6.143	164.814	249.407	442.012
6.153	164.766	249.076	442.293
6.163	164.814	248.789	442.063
6.173	164.814	249.811	442.217
6.183	162.921	249.811	442.166
6.193	162.921	248.832	442.421
6.203	162.921	246.942	442.881
6.213	162.921	247.956	443.957	329.380
6.223	162.921	249.811	330.199	442.702
6.233	162.921	249.811	329.628	442.753
6.243	162.921	246.942	329.628	418.000
6.253	162.921	333.458	244.105	417.759
6.263	162.921	329.628	422.344	247.627
6.273	164.462	325.841	420.130	247.470
6.283	164.452	322.099	416.410	492.886
6.293	164.814	415.305	328.241	654.059
6.303	164.814	415.305	328.241	656.178
6.313	164.814	415.305	329.323	656.178
6.323	164.804	415.617	328.772	655.647
6.333	164.814	415.305	328.392	655.193
6.343	164.814	415.977	328.260	654.815
6.353	164.814	328.601	416.001	654.777
6.363	164.814	328.582	416.410	654.739
6.373	162.921	328.316	417.735	654.928
6.383	162.921	328.373	415.305	654.588
6.393	162.921	328.791	418.967	654.210
6.403	162.921	328.354	654.437	416.722
6.413	164.282	327.956	654.966	375.311
6.423	162.921	327.899	374.294	655.080
6.433	164.225	322.099	374.294	655.269
6.443	163.364	328.924	375.723	655.458
6.453	162.921	328.506	376.223	655.723
6.463	164.026	328.278	375.875	655.988
6.473	329.494	162.921	376.418	656.064
6.483	329.628	374.834	162.921	656.557
6.493	329.228	376.331	163.846	656.822
6.503	329.000	376.614	164.814
6.513	328.734	378.074	164.814
6.523	327.975	164.814	376.592
6.533	328.354	493.883	164.215
6.543	329.628	493.883	164.300
6.553	328.241	493.883	164.367
6.563	328.620	491.663	164.386
6.573	489.396	328.848	164.367
6.583	488.211	328.203	164.814
6.593	488.211	327.862	162.921
6.603	484.894	164.814	416.025
6.613	485.988	415.977	164.814
6.623	487.872	415.305	164.814
6.633	415.305	488.211	164.073
6.643	415.185	488.211	164.007
6.653	415.305	488.831	162.921
6.663	414.945	491.493	82.407
6.673	414.993	82.407	492.118
6.683	415.257	82.407	985.544
6.693	415.305	82.416	987.767
6.703	415.065	82.407	987.767
6.713	414.897	82.407	987.767
6.723	414.514	82.407	489.566
6.733	414.586	82.407	490.245
6.743	414.586	82.407	489.962
6.753	82.407	414.825	489.962
6.763	82.407	414.801	488.211
6.773	82.736	414.777	488.211
6.783	82.407	414.705	488.211
6.793	82.870	414.873	488.211
6.803	81.460	414.873	488.211
6.813	82.407	414.825	488.211
6.823	82.679	415.305	492.601
6.833	83.364	414.969	492.715
6.843	83.009	415.017	493.883
6.853	82.122	415.161	490.840
6.863	82.407	415.305	491.067	296.511
6.873	82.407	415.185	296.357	491.294
6.883	82.407	414.945	297.077	985.032
6.893	82.407	414.897	296.940	986.626
6.903	81.923	414.945	298.902	985.316
6.913	83.364	297.077	415.185	984.235
6.923	83.364	297.094	415.305	983.781
6.933	83.364	297.077	415.425	491.039
6.943	83.364	297.077	415.545	491.550
6.953	83.364	297.197	415.665	491.777
6.963	81.696	297.077	415.377	491.890
6.973	83.364	297.077	415.161	492.089
6.983	81.616	297.128	415.305	165.195
6.993	82.617	297.077	416.169	166.037
7.003	83.364	297.077	420.130	165.721
7.013	83.495	297.077	415.305	165.462
7.023	83.364	297.077	415.305	164.814
7.033	83.364	297.077	416.362	165.836
7.043	83.364	297.077	415.305
7.053	83.364	297.077	415.305
7.063	83.244	297.077	417.035
7.073	83.364	297.077	420.058
7.083	83.364	297.077	417.590
7.093	83.172	297.077	417.759
7.103	83.364	297.077	418.024
7.113	83.364	297.077	418.532
7.123	83.364	297.077	418.919
7.133	83.364	297.077	419.185
7.143	83.364	425.012	297.077
7.153	83.326	415.305	297.077
7.163	82.407	419.233	277.183
7.173	83.823	413.318	277.183
7.183	84.333	277.183	419.427
7.193	277.183	84.333	420.130
7.203	277.183	81.460	425.012
7.213	277.183	328.943	429.950
7.223	277.183	432.466	328.222
7.233	277.183	434.946	109.854
7.243	277.183	108.737	432.891
7.253	277.183	110.797	434.946
7.263	277.183	110.000	434.946
7.273	277.183	110.000	432.591
7.283	277.183	110.000	429.950
7.293	276.847	109.930	865.432
7.303	276.863	110.000	865.282
7.313	276.879	110.000	865.632
7.323	275.523	108.737	868.637
7.333	108.737	276.415	869.390
7.343	108.737	276.000	870.144
7.353	110.000	276.144	873.820
7.363	110.000	274.839	874.477
7.373	110.000	276.048	875.842
7.383	110.000	275.189	873.316
7.393	110.000	276.048	438.908
7.403	110.000	275.554	438.604
7.413	108.737	275.666	437.794
7.423	110.000	276.176	876.500
7.433	109.152	276.751	877.209
7.443	110.000	277.183	874.325
7.453	110.000	277.183	875.842
7.463	110.000	277.615	879.898
7.473	110.000	277.295	880.661
7.483	110.000	277.856	881.221
7.493	110.000	277.215	882.749
7.503	110.000	277.183	884.331
7.513	110.000	277.183	884.280
7.523	110.548	277.183	882.698
7.533	110.000	277.183	883.310
7.543	110.000	277.183	883.310
7.553	110.000	277.007	883.565
7.563	110.000	277.183
7.573	110.000	277.183
7.583	110.000	277.231
7.593	110.140	277.231
7.603	110.000	277.183
7.613	110.000	277.183	441.094
7.623	110.000	277.183	440.636
7.633	110.019	277.135	440.941
7.643	110.000	276.591	441.069
7.653	110.000	276.351	441.247
7.663	110.000	275.030	441.400
7.673	110.051	273.999	441.630
7.683	110.516	273.999	441.222
7.693	110.592	273.999	441.069
7.703	110.057	273.999	441.910
7.713	110.363	273.999	440.865
7.723	110.000	273.999	331.575
7.733	110.000	273.999	331.422
7.743	110.000	273.872	331.288
7.753	110.000	273.999	331.250
7.763	110.000	273.999	331.384
7.773	110.051	273.683	330.944
7.783	110.727	273.999	330.848
7.793	110.261	273.999	330.734
7.803	110.000	273.999	330.887
7.813	111.278	274.807	330.237
7.823	111.336	275.157	330.199
7.833	111.278	275.300	329.837
7.843	110.000	275.809	330.543
7.853	110.000	277.183	440.967
7.863	110.000	277.183	440.712
7.873	110.000	277.295	440.509
7.883	110.000	278.322	437.213
7.893	109.329	278.547	439.975
7.903	108.737	278.966	438.123
7.913	111.503	279.078	438.782
7.923	110.000	280.031	440.229
7.933	110.000	279.643	331.844
7.943	110.000	280.403	331.920
7.953	110.000	279.256	331.959
7.963	110.000	280.403	331.882
7.973	110.388	279.320	332.189
7.983	111.278	280.274	332.362
7.993	111.278	278.756	332.400
8.003	111.278	277.183	332.170
8.013	111.278	277.599	331.633
8.023	110.223	442.089	273.999
8.033	110.000	440.890	277.583
8.043	110.000	438.402	331.480
8.053	108.737	435.977	330.600
8.063	108.737	435.524	277.760
8.073	108.737	437.415	274.569
8.083	108.737	435.701	278.290
8.093	108.737	436.330	278.692
8.103	110.000	437.719	278.901
8.113	110.000	429.950	279.562
8.123	110.274	434.946
8.133	110.000	441.553
8.143	110.000	443.393
8.153	109.943	438.985
8.163	110.057	439.543
8.173	110.178
8.183	110.299
8.193	111.278
8.203	110.000
8.213	110.452
8.223
8.233
8.243
8.253
8.263
8.273
8.283
8.293
8.303
8.313
8.323
8.333
8.343
8.353	440.712
8.363	440.941
8.373	441.196
8.383	441.018
8.393	441.477
8.403	439.898
8.413	440.000
8.423	440.967	1310.386
8.433	441.834	1304.119
8.443	442.600
8.453	445.113
8.463	1318.510
8.473	1319.501
8.483	1319.577
8.493	1319.653
8.503
8.513
8.523
8.533
8.543
8.553
8.563
8.573
8.583
8.593
8.603
8.613
8.623
8.633
8.643
8.653
8.663
8.673
8.683
8.693
8.703
8.713
8.723
8.733
8.743
8.753
8.763
8.773
8.783
8.793
8.803
8.813
8.823
8.833
8.843
8.853
8.863
8.873
8.883	288.853
8.893	289.338
8.903	289.739
8.913	290.091
8.923	290.426	585.602
8.933	286.957	587.330
8.943	287.821	587.330
8.953	290.292	585.331
8.963	291.215	580.583
8.973	293.427	442.881
8.983	293.665	442.881
8.993	293.665	443.419
9.003	293.665	442.881
9.013	294.786	442.396
9.023	294.855	442.344
9.033	293.665	443.188
